,M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元)
公司,2016/9/30,2016/6/30,2016/3/31,2015/12/31,2015/9/30,2015/6/30,2015/3/31,2014/12/31,2014/9/30,2014/6/30,2014/3/31,2013/12/31,2013/9/30,2013/6/28,2013/3/29,2012/12/28,2012/9/28,2012/6/29,2012/3/30
5291 邑昇,-0.08,0.02,0.01,0.34,0.59,0.07,0.03,3.05,3.15,2.26,1.34,3.14,2.32,1.64,0.94,2.97,,,
5301 寶得利,-0.71,-0.27,0.01,0.58,0.56,0.91,0.57,1.73,1.58,1.53,1.11,0.83,0.5,0.26,-0.13,0.35,-0.35,0.95,-0.8
5302 太欣,-0.14,-0.11,-0.06,-0.21,-0.15,-0.13,-0.09,-0.32,-0.24,-0.19,-0.12,-0.22,-0.13,-0.1,-0.04,-0.22,-0.12,-0.05,0.01
5304 鼎創達,-1.26,-0.5,-0.31,-1.5,-0.58,-0.84,-0.46,1.47,1.41,1.39,-0.18,-1.04,-1.19,-1.09,-1.13,-0.72,-0.43,-0.12,-0.26
5305 敦南,1.12,0.57,0.07,1.52,1.65,1.62,0.37,1.1,0.96,0.46,0.17,0.35,0.35,0.14,-0.03,0.44,0.38,0.14,-0.09
5306 桂盟,4.98,3.03,1.58,6.22,4.8,2.78,1.58,4.31,3.4,2.14,1.04,3.76,2.99,1.89,0.9,2.49,1.44,0.32,0.12
5309 系統電,-0.3,-0.12,0,3.01,3.88,3.74,-0.42,-1.04,-0.92,-0.85,-0.32,-1.8,-0.78,-0.39,0.03,-0.02,0.34,-0.17,0.01
5310 天剛,-0.74,-0.71,-0.12,0.42,-0.16,-0.12,-0.11,-0.17,-0.14,0,-0.04,0.35,0.46,0.53,-0.08,4.84,-0.24,-0.14,0.06
5312 寶島科,5.06,3.09,1.67,6.22,4.96,3.08,1.63,5.87,4.62,2.75,1.62,5.94,4.26,2.65,1.67,5.13,3.86,2.55,1.28
5314 世紀,-1.29,-0.95,-0.34,-1.07,-0.8,-0.58,-0.31,-0.99,-0.74,-0.46,-0.28,-1.32,-1.1,-0.75,-0.18,-0.55,-0.47,-0.37,-0.11
5315 光聯,3,2.12,0.94,3.4,2.25,1.1,0.54,-0.47,-0.53,-0.82,-0.26,-0.72,-0.5,-0.73,-0.22,-1.21,-0.8,-0.57,-0.36
5317 凱美,-1.17,-1.22,0.12,-0.33,0.32,0.14,0.04,0.65,0.6,0.41,0.2,0.74,0.55,0.34,0.09,-0.37,-0.24,-0.21,-0.21
5321 友銓,0.78,0.6,0.3,1.02,0.83,0.16,0.1,1.43,-0.03,-0.34,0.1,1.85,2.81,1.03,3.1,-5.64,-2.22,-1.57,-0.68
5324 士開,1.01,1.4,-0.4,-2.87,-2.14,-1.55,-0.97,-1.7,-1.13,-0.6,-0.32,12.71,13.33,16.25,16.57,3.47,3.18,1.86,1.19
5328 華容,0.32,0.17,0.08,0.41,0.31,0.04,-0.03,-0.65,0.11,0.05,0.05,0.26,0.22,0.11,0.02,-0.36,0.18,0.12,0.01
5340 建榮,0.01,-0.05,-0.08,-0.4,-0.28,-0.19,-0.09,-0.6,-0.47,-0.27,-0.12,-0.86,-0.67,-0.47,-0.29,-0.54,-0.26,-0.15,-0.18
5344 立衛,-0.43,-0.22,0.01,-0.98,-0.65,-0.4,-0.1,-1.18,-0.51,-0.3,-0.18,-0.21,-0.17,-0.09,-0.07,1.14,1.32,1.32,1.31
5345 天揚,-0.06,-0.33,-0.91,2.3,1.21,0.74,0.1,2,2.08,2.08,-0.04,0.06,0.05,0.06,0.04,-0.13,0.17,0.1,0.13
5347 世界,2.55,1.75,0.83,2.54,2,1.48,0.84,3.35,2.46,1.65,0.84,2.76,2.05,1.28,0.57,1.5,1.02,0.51,0.02
5348 系通,-1.51,-0.96,-0.46,-0.85,-0.6,-0.71,-0.31,-1.23,-1.01,-0.65,-0.27,-4.12,-2.82,-0.65,-0.23,1.1,0.99,0.67,0.05
5349 先豐,1.56,1.63,0.68,3.03,2.3,1.84,1.25,3.72,2.48,1.49,0.64,3.18,2.43,1.68,0.87,2.06,1.28,0.68,0.4
5351 鈺創,-0.67,-0.31,-0.16,-0.32,-0.1,0.06,0.06,0.3,0.22,0.09,0.04,0.03,-0.15,-0.16,-0.27,-1.14,-1.25,-0.98,-0.62
5353 台林,0.29,0.23,0.1,0.32,0.35,0.1,0.06,0.47,0.45,0.24,0.18,0.58,0.53,0.31,0.08,0.35,0.35,0.12,0.02
5355 佳總,-0.29,-0.22,-0.19,0.18,0.26,0.14,0.12,0.84,0.49,0.22,0.18,1.38,1.04,0.84,0.47,0.96,0.36,0.11,0.07
5356 協益,3.33,2.31,1.08,4.36,3.05,1.59,1.12,11.45,10.7,2.82,1.34,6.08,5.16,3.91,1.66,5.06,3.01,1.98,1.04
5364 力麗店,1.15,-0.05,-0.5,1.32,-0.02,-0.24,0.54,0.97,1.18,0.57,0.36,4.9,0.06,-0.06,-0.06,-0.67,-0.4,-0.29,-0.04
5371 中光電,2.38,1.13,0.59,3.51,2.39,1.12,0.54,4.46,3.43,1.74,0.63,2.68,1.64,0.99,0.49,1.23,0.95,0.64,0.29
5381 合正,0.89,0.87,0.8,-2.34,-2.35,-1.07,-0.46,-0.22,0.11,0.5,0.89,0.01,0.19,0.31,-0.65,-4.21,-2.92,-1.43,-0.58
5383 金利,-1.3,-0.95,-0.53,-1.33,-0.87,-0.51,-0.17,0.37,0.5,0.42,0.19,0.19,0.24,-0.04,-0.14,-0.6,-0.42,-0.36,-0.25
5384 捷元,0.34,0.21,0.11,0.35,0.18,0.14,0.1,0.45,0.24,0.15,0.1,0.42,0.15,0.04,0.1,0.16,0.15,0.14,0.11
5386 青雲,0.69,-0.06,0.03,2.22,1.71,0.73,-0.34,0.11,-0.02,0.17,0.31,1.73,1.56,1.24,0.59,7.5,4.5,1.59,0.92
5388 中磊,4.32,2.59,1.17,5.57,4.01,2.16,0.73,4.21,3.1,2.05,0.84,4.19,3.13,1.99,0.6,3.9,3.3,2.06,0.86
5392 應華,1.23,1.05,0.59,0.08,0.19,0.58,0.42,1.64,2.11,1.48,1.33,2.21,3.86,3.05,0.71,1.57,2.44,1.48,0.57
5395 圓方,0.19,0.09,-0.16,0.52,0.21,0.17,0.17,13,6.18,6.61,8.92,-6.12,-2.54,-1.4,-0.76,-3.03,-1.53,-1.14,-0.62
5398 力瑋,-0.14,-0.14,-0.19,-3.28,-2.15,-1.74,-0.56,-1.01,-0.63,-0.55,-0.11,0.17,0.1,0.09,0.05,0.15,0.01,0.01,-0.06
5403 中菲,2.31,1.9,0.88,2.32,1.41,1.02,0.44,2.04,1.3,0.76,0.38,2.6,2.05,1.05,0.45,2.04,1.55,1,0.16
5410 國眾,0.93,0.61,0.29,1.39,0.82,0.46,0.27,1.18,0.67,0.47,0.25,0.97,0.62,0.52,0.36,1.1,0.7,0.44,0.2
5425 台半,2.28,1.51,0.76,3.31,2.24,1.23,0.66,2.51,2.1,1.41,0.65,1.61,1.34,0.94,0.41,0.68,0.64,0.38,0.12
5426 振發,0.87,0.65,0.25,0.76,0.51,0.24,0.24,1.46,1.18,0.61,0.32,1.16,0.95,0.68,0.37,1.23,0.96,0.47,0.23
5432 達威,0.26,0.28,0.15,1.06,0.84,0.41,0.22,0.81,0.51,0.26,0.19,0.71,0.62,0.52,0.35,1.49,1.01,0.68,0.39
5434 崇越,5.37,3.61,1.76,5.89,4.4,2.87,1.38,5.44,4.06,2.56,1.15,5.22,4.07,2.76,1.29,5.4,4.2,2.51,1.29
5438 東友,1.28,0.39,0.18,1.62,1.51,0.4,0.09,1.29,1.2,0.76,0.44,0.62,0.13,-0.35,-0.28,0.56,0.3,-0.08,0.04
5439 高技,1.88,1.42,0.61,1.62,1.37,0.77,0.45,2.04,1.53,0.99,0.45,1.29,1.09,0.64,0.3,1.65,1.39,0.95,0.39
5443 均豪,1.61,1.48,0.21,1.2,0.98,0.26,0.15,0.42,0.43,0.26,0.04,0.98,0.7,0.29,0.47,-1.53,-1.06,-1.18,-0.36
5450 寶聯通,0.04,0.07,0.14,-0.86,-0.78,-0.73,-0.39,-1.3,-0.9,-0.77,-0.32,-0.54,-0.29,0.03,-0.06,-0.11,-0.02,-0.03,-0.05
5452 佶優,0.03,-0.05,0.02,0.15,0.09,-0.2,-0.15,0.36,0.27,0.15,0.06,0.31,0.15,0.08,0.05,0.56,0.56,0.3,0.03
5455 訊利電,-0.02,0.02,0.06,-2.99,-1.49,-1.2,-0.96,-7.32,-1.25,-0.96,-0.5,-1.75,-1.18,-0.69,-0.11,-1.83,-1.02,-1.02,-0.58
5457 宣德,-0.34,-0.28,-0.11,1.32,1.07,0.45,0.19,1.88,1.42,0.88,0.81,0.09,-0.32,-0.17,-0.12,-2.62,-2.28,-0.74,-0.47
5460 同協,0.56,0.48,0.22,1.04,0.75,0.57,0.26,1.22,0.96,0.59,0.23,0.73,0.52,0.38,0.22,1.02,0.87,0.52,0.23
5464 霖宏,-0.67,-0.19,-0.47,1.76,1.8,-0.34,0.01,2.71,1.59,0.9,1.12,2.04,1.82,2,1.18,0.49,0.41,0.32,-0.36
5465 富驊,0.25,0.12,0.11,0.29,0.28,0.26,0.19,0.58,0.21,0.07,-0.04,0.23,0.06,0.11,0.11,-0.07,0.12,0.04,-0.1
5468 凱鈺,-0.81,-0.5,-0.32,-0.26,-0.09,-0.05,-0.03,-0.92,-0.89,-0.67,-0.4,-1.24,-0.71,-0.7,-0.48,-1.7,-1.31,-0.83,-0.46
5469 瀚宇博,1.34,0.42,0.06,0.81,0.71,0.09,-0.07,1.57,1.06,0.4,0.05,-0.56,-0.56,-0.39,-0.1,1.19,1.14,0.91,0.16
5471 松翰,1.27,0.84,0.16,2.32,1.89,1.22,0.43,3.12,2.5,1.71,0.7,3.07,2.28,1.6,0.66,3.2,2.7,1.89,0.73
5474 聰泰,4.87,3.38,1.73,6.34,4.88,2.64,1.72,4.16,2.01,0.96,0.52,2.68,1.98,1.37,0.79,1.05,0.32,0.05,-0.33
5475 德宏,-1.89,-1.33,-0.46,-2.54,-1.22,-0.84,-0.39,-0.86,-0.69,-0.54,-0.34,-0.6,-0.26,0.01,0.01,0.01,0.2,0.41,0.11
5478 智冠,2.57,2,1.09,2.42,1.93,1.5,1.21,4.09,3.46,2.45,1.67,3.01,2.63,2.26,1.21,2.19,2.14,1.37,0.17
5480 統盟,0.94,0.53,0.18,1.1,0.8,0.51,0.23,1.76,1.33,0.73,0.32,3.36,2.74,2.2,0.7,3.45,2.62,1.65,0.73
5481 華韡,0.06,-0.06,0.01,-1.37,-1.05,-0.79,-0.24,-0.35,-0.82,-0.61,-0.34,-1.52,-1.21,-0.77,-0.45,-3.77,-1.77,-1.05,-0.47
5483 中美晶,-1.4,0.87,0.36,0.93,0.86,0.35,0.35,2.06,2.46,1.6,0.86,0.57,0.71,0.6,0.41,-4.9,-2.27,-1.69,-1.4
5484 慧友,0.28,0.16,0.02,-1.52,-1.17,-0.92,-0.47,-1.08,-0.58,-0.47,-0.06,-0.55,-0.38,-0.18,0.01,0.03,0.19,0.02,-0.11
5487 通泰,1.38,0.94,0.34,1.55,1.17,0.7,0.29,1.86,1.27,0.83,0.5,1.86,1.33,0.77,0.17,0.95,0.68,0.51,0.1
5488 松普,0.47,0.18,0.15,-0.29,-0.41,0.01,-0.11,-0.76,-0.68,-0.68,-0.57,-1.3,-0.72,-0.43,-0.36,-1.34,-0.83,-0.32,-0.28
5489 彩富,0.98,0.89,0.56,4.15,3.12,1.44,0.78,5.78,4.43,2.71,1.57,5.77,3.35,2.03,0.8,3.7,2.7,1.56,0.78
5490 同亨,2.17,1.27,0.77,5.41,4,3.18,1.1,2.01,0.35,0.1,0.13,3.38,2.98,1.51,0.42,1.81,1.57,0.86,0.5
5491 連展,-1.32,-1.28,-0.78,-1.67,-1.45,-1.29,-0.66,0.04,-0.04,-0.23,-0.42,-0.82,-0.06,0.1,-0.02,-0.98,-1.27,-1.15,-0.84
5493 三聯,2.17,1.24,0.4,3.11,2.46,1.62,0.41,2.45,1.78,1.18,0.36,2.91,1.85,0.94,0.35,2.05,1.68,1.04,0.52
5498 凱崴,0.03,0,-0.01,0.02,0,0.03,0.04,0.15,0.07,0.04,0.02,0.07,-0.02,0.05,0.01,0.03,-0.25,-0.18,-0.07
5508 永信建,1.28,0.59,0.16,2.63,2.22,2,0.97,9,8.03,5.06,1.98,11.2,8.36,5.05,1.59,12.01,10.28,8.98,-0.12
5511 德昌,0.97,0.64,0.4,1.85,1.44,1.1,0.55,3.88,2.16,1.56,0.7,4.32,3.02,2.71,0.68,5.93,4.4,3.35,1.06
5512 力麒,0.11,0.09,0.03,0.19,0.26,0.32,0.08,1.63,1.53,0.69,0.09,0.97,0.79,0.34,0.2,3.02,2.94,0.71,0.08
5514 三豐,0.4,0.25,0.18,-0.04,-0.29,-0.1,0.02,4.83,4.45,2.25,2.16,2.99,-0.01,-0.14,-0.03,2.99,2.18,1.72,0.92
5515 建國,0.08,0.02,-0.02,-0.51,-0.2,-0.02,-0.11,0.53,0.51,0.33,-0.09,3.03,2.52,2.81,2.62,1.64,2.29,2.16,2.1
5516 雙喜,-0.31,-0.49,-0.17,-0.41,-0.37,-0.26,-0.19,-1.65,-0.83,-1.06,0.4,-3.33,0.4,0.47,0.57,1.34,0.51,0.36,0.4
5519 隆大,0.93,0.83,0.01,1.4,1.23,0.84,0.3,3.15,2.19,1.5,0.49,4.05,3.17,0.67,0.38,4.1,3.18,2.71,0.6
5520 力泰,1.59,1.06,0.56,1.82,1.62,1.13,0.47,1.58,1.2,0.95,0.59,2.22,2.01,1.37,0.73,2.22,1.69,0.99,0.38
5521 工信,0.16,0.08,0.02,0.24,0.16,0.26,0.08,-0.46,-0.5,-0.46,0.06,0.27,0.11,0.06,0.05,0.37,0.26,0.23,0.03
5522 遠雄,5.29,3.72,0.44,7.74,5.6,4.2,1.74,5.99,2.58,1.61,1.42,8.66,6.2,4.9,1.92,6.23,5.06,3.33,1.17
5523 豐謙,-0.36,-0.42,-0.14,-0.67,-0.45,-0.24,-0.03,3.17,-0.63,-0.44,-0.26,-2.99,-2.95,-1.76,-0.29,-2.04,-0.2,-0.15,-0.07
5525 順天,0.2,-0.02,-0.04,2.4,2.56,2.1,0.83,2.46,0.56,0.66,0.32,2.69,2.1,2.21,-0.15,1.75,1,0.39,-0.19
5529 志嘉,-0.92,-0.63,-0.26,-0.84,-0.64,-0.4,-0.02,-0.21,-0.05,0.13,0.55,0.75,-0.63,-0.89,-0.23,15.09,-1.07,-0.69,-0.33
5530 龍巖,1.88,1.1,0.5,2.73,2.37,1.32,0.69,5.49,3.9,2.33,1.16,5.05,3.08,2.02,1.01,5.13,3.72,2.53,0.76
5531 鄉林,-0.09,-0.1,0.27,0.25,-0.21,-0.29,-0.12,1.37,1.1,0.61,-0.06,4.03,1.36,0.57,-0.04,1,0.41,0.23,0.29
5533 皇鼎,0.72,0.64,0.43,2.18,2.06,1.72,1.51,3.83,3.36,2.46,0.56,3.09,2.71,0.53,0.3,3.44,2.71,0.75,0.06
5534 長虹,7.96,3.12,2.3,2.44,1.26,-0.01,0,7.22,1.59,-0.14,-0.2,20.36,19.48,18.73,19.72,21.28,11.3,0.75,0.81
5536 聖暉,7.02,4.06,1.63,9.02,6.52,4.5,1.16,2.06,0.54,3.61,1.17,10.11,7.35,5.19,2.48,15.38,9.11,5.99,2.63
5538 東明-KY,1.63,1.04,0.44,1.42,1.27,0.96,0.5,3.05,2.47,1.3,0.41,1.56,1.04,0.88,0.51,1.08,,,
5543 崇佑-KY,0.57,1,0.27,1.49,0.61,0.91,-0.01,1.41,0.09,0.05,,0.69,,,,,,,
5601 台聯櫃,0.27,0.18,0.09,0.25,0.25,0.16,0.1,1.02,0.98,0.91,0.07,0.3,0.27,0.18,0.09,0.41,0.44,0.36,0.28
5603 陸海,0.88,0.65,0.36,1.63,1.45,1.02,0.58,2.76,2.05,1.29,0.4,0.63,0.49,0.16,0.12,-0.42,0.15,0.04,-0.01
5604 中連貨,0.59,0.41,0.21,3.81,0.86,0.58,0.26,1.19,0.78,0.42,0.2,1.25,0.79,0.45,0.17,0.82,0.5,0.25,-0.02
5607 遠雄港,0.88,0.5,0.21,0.97,0.84,0.48,0.22,1.33,1.12,0.75,0.3,1.08,0.86,0.48,0.22,0.54,0.43,0.13,-0.03
5608 四維航,-1.87,-1.44,-0.85,-0.12,-0.03,-0.04,0.05,0.56,0.33,0.18,0.22,0.89,0.56,0.38,0.24,1.79,0.79,1.31,1.27
5609 中菲行,1.76,1.2,0.44,1.08,0.96,0.78,0.22,1.66,1.45,1.04,0.23,1.02,0.8,0.38,-0.11,1.08,0.8,0.66,0.21
5701 劍湖山,-1.12,-0.62,-0.29,-1.27,-1.03,-0.61,-0.26,-1.44,-1.11,-0.85,-0.37,-1.63,-1.26,-0.47,-0.2,-1.54,-1.05,-0.7,-0.28
5703 亞都,-0.25,0,0.05,1.04,0.53,0.45,0.32,0.53,0.32,0.29,0.13,0.62,0.54,0.53,0.42,1,0.7,0.57,0.32
5704 老爺知,0.46,0.46,0.44,1.05,0.75,0.49,0.44,1.44,1.06,0.57,0.37,1.08,0.88,0.4,0.27,0.75,0.53,0.32,0.41
5706 鳳凰,2.26,1.12,0.59,3.2,3.04,1.79,0.51,2.07,1.93,0.9,0.26,3.03,2.86,1.57,1.05,3.76,3.3,1.67,0.77
5820 日盛金,0.31,0.17,0.1,0.58,0.46,0.3,0.18,0.76,0.63,0.48,0.22,0.68,0.45,0.35,0.23,0.69,0.61,0.45,0.24
5871 中租-KY,4.78,3.1,1.42,6.02,4.52,3,1.56,6.23,4.68,2.94,1.57,5.91,4.3,3.17,1.53,5.11,3.91,2.33,1.01
5878 台名,2.86,1.75,0.92,3.12,2.59,1.53,1.31,3.86,3.3,2.44,1.36,3.9,2.74,1.82,1.56,3.76,,,
5880 合庫金,0.89,0.57,0.28,1.22,0.92,0.58,0.3,1.13,0.9,0.58,0.28,1,0.81,0.55,0.3,1.07,0.96,0.66,0.34
5902 德記,0.29,0.12,0.02,0.26,0.18,0.04,0.01,0.14,0.11,0.04,0,0.21,0.19,0.08,0.01,0.01,-0.02,-0.06,-0.05
5903 全家,5.13,2.77,0.71,5.72,4.51,2.42,0.78,5.8,4.88,2.81,0.92,4.91,3.94,2.04,0.49,3.83,3.03,1.66,0.31
5904 寶雅,9.08,5.46,2.59,10,7.6,4.72,2.52,8.22,6.1,3.58,1.82,6.03,4.61,3.07,1.83,4.75,3.69,2.41,1.43
5905 南仁湖,0.54,0.27,0.12,0.37,0.41,0.19,0.13,0.66,0.54,0.28,0,0.44,0.37,-0.01,-0.14,-0.62,0.11,-0.14,-0.1
5906 台南-KY,-2.92,-1.82,-0.19,-4.83,-4.01,-2.69,-0.87,-5.78,-5.91,-3.72,-1.85,-6.99,-5.36,-3.47,-1.38,-4.17,-4.64,-3.69,-1.17
5907 大洋-KY,0.01,0.39,-0.39,1.63,0.58,3.06,1.94,5.38,3.57,3.19,1.84,4.94,3.23,2.14,1.22,5.03,2.96,2.52,1.92
6005 群益證,0.45,0.25,0.07,0.66,0.38,0.39,0.24,0.85,0.65,0.46,0.2,0.62,0.42,0.23,0.12,0.45,0.36,0.21,0.19
6015 宏遠證,-0.2,-0.18,-0.01,-0.6,-0.74,-0.3,-0.05,0.4,0.32,0.7,0.34,0.61,0.46,0.31,0.19,3.85,3.86,-0.07,0.18
6016 康和證,-0.21,-0.29,0.08,0.35,0.12,0.34,0.02,0.1,0.15,0.37,0.12,0.03,-0.1,-0.11,-0.03,0.01,-0.01,-0.05,0.06
6020 大展證,0.17,0.01,0.11,-0.01,-0.21,-0.19,0.06,0.56,0.66,1.26,0.35,1.35,1.14,0.85,0.41,0.42,0.44,0.21,0.39
6021 大慶證,-0.15,-0.24,-0.12,-0.17,-0.15,0.27,0.17,0.34,0.28,0.74,0.07,0.93,0.65,0.38,0.26,0.52,0.61,0.17,0.39
6022 大眾證,0.11,0.08,0.06,0.43,0.07,0.22,0.11,0.54,0.48,0.63,0.36,0.37,0.18,0.12,0.1,-0.03,0.02,0.05,0.14
6023 元大期,2.68,1.91,0.9,3.35,2.44,1.37,0.56,3.75,2.91,2.18,1.59,2.82,1.96,1.28,0.43,2.51,1.87,1.16,0.64
6024 群益期,3.19,2.2,1.18,3.54,2.69,1.33,0.49,2.65,1.77,0.68,0.41,2.58,1.88,1.28,0.48,2.52,1.74,1.19,0.59
6026 福邦證,0.55,0.16,0.2,0.58,-0.24,0.47,0.35,1.87,1.82,1.79,1.39,1,,0.26,,0.54,,0.27,
6101 弘捷,-1.68,-1.46,-0.1,-3.25,-2.34,-1.57,-0.74,1.13,0.79,0.69,0.41,-0.27,-0.32,0.15,0.14,-0.52,-0.47,-0.07,-0.49
6103 合邦,0.07,0.08,0.05,0.03,0.03,-0.02,0.05,-0.68,-0.3,-0.22,-0.13,-0.54,-0.4,-0.29,-0.16,-0.97,-0.74,-0.44,-0.21
6104 創惟,1.87,1.11,0.48,3.01,2.23,1.51,0.93,4.86,3.42,1.49,0.45,-2.29,-0.74,-0.7,-0.44,-0.94,-0.33,-0.49,-0.45
6105 瑞傳,2.85,2.47,0.95,4.41,3.47,2.07,0.86,7.42,2.27,1.24,0.54,2.19,1.55,0.86,0.59,3.3,2.79,2.09,1.1
6107 華美,2.87,3.2,1.13,2.14,2.03,0.7,0.35,4.21,3.74,1.72,0.71,0.51,0.3,0.27,0.11,2.01,0.59,0.22,-0.52
6108 競國,2.08,1.11,0.44,0.12,-1.49,-0.67,-0.3,2.07,2.01,1.11,0.66,0.99,0.95,0.55,0.49,2.14,1.76,1.22,0.39
6109 亞元,0.68,0.54,0.2,1.58,1.2,0.63,0.11,1.21,1.06,0.69,0.19,-0.56,-0.39,-0.12,0.02,0.52,0.5,0.32,0.04
6111 大宇資,-1.42,-1.32,-1.99,3.87,5.03,2.77,0.68,-0.82,0.14,0.29,-0.65,-0.62,0.1,-0.05,0.99,-2.65,-2.87,-1.97,-0.55
6112 聚碩,1.85,1.22,0.61,2.45,1.92,1.3,0.6,2.5,1.9,1.28,0.65,2.52,1.93,1.31,0.66,2.58,2.02,1.5,0.88
6113 亞矽,0.99,-0.06,-0.02,-1.66,-1.05,-0.7,-0.08,-0.58,-0.49,-0.41,-0.04,-0.76,-0.22,0.13,0.16,0.33,0.53,0.46,0.1
6114 久威,3.45,2.34,0.99,7.48,5.28,2.99,1.38,5.92,2.37,1.87,0.37,0.01,0.01,0.07,-0.19,-0.42,-0.27,0.09,0.02
6115 鎰勝,2.83,1.72,0.48,3.39,2.56,1,0.45,3.5,3,1.7,1,3.84,2.89,2.13,1.19,4.12,3.2,2.04,0.89
6116 彩晶,0.23,-0.5,-0.28,-0.68,-0.26,-0.04,0.21,0.16,0.37,0.61,0.37,2.11,2.06,1.31,0.45,-0.56,-0.62,-0.51,-0.04
6117 迎廣,-0.96,-0.85,-0.47,-2.63,-1.93,-1.44,-0.6,0.43,0.67,0.85,0.38,0.23,0.04,0.33,0.14,-0.43,-0.36,-0.23,-0.21
6118 建達,-0.03,-0.08,0.06,-0.03,-0.19,-0.15,-0.2,-0.24,-0.23,-0.09,-0.08,0.22,0.1,-0.03,-0.1,0.35,0.09,-0.1,0.08
6120 達運,0.21,0.02,-0.1,-0.57,-0.22,0.01,0.2,2.41,0.02,0.05,-0.23,0.92,-0.85,-0.48,-0.32,0.22,0.26,0.04,-0.03
6121 新普,6.5,4.17,2.08,10.1,7.31,4.8,2.46,10.98,7.69,4.9,2.45,10.5,7.14,4.43,2.33,10.71,8.6,5.53,2.7
6122 擎邦,-0.11,0.05,0.08,-0.2,-0.33,-0.12,0.01,0.31,0.26,0.43,0.18,-0.45,0.09,0.32,0.01,1.03,0.54,0.32,0.06
6123 上奇,2.35,1.62,1.05,2.25,1.35,0.45,0.03,1.69,1.3,0.63,0.16,1.32,0.91,0.87,0.49,2.51,1.98,1.4,0.64
6124 業強,1.1,1.18,-0.28,-0.31,-0.28,-0.19,-0.1,-0.06,-0.22,-0.59,-0.52,0.54,0.43,0.17,0.08,0.16,0.07,-0.03,-0.3
6125 廣運,-0.28,0.49,0.11,0.3,0.15,0.07,0.01,0.74,0.78,0.69,0.53,-1.83,-0.26,-0.09,-0.46,-3.36,-0.84,-0.74,-0.27
6126 信音,0.48,0.11,0.02,-3.34,-0.97,-0.87,-0.29,-0.27,-0.13,-0.13,-0.13,0.01,0.5,0.43,-0.13,1.76,1.71,0.95,0.32
6127 九豪,0.43,0.2,0.13,0.21,0.16,0.13,0.06,0.05,-0.15,-0.13,-0.24,-0.82,-0.63,-0.31,-0.35,-1.65,-1.35,-0.84,-0.57
6128 上福,3.13,2.22,1.04,3.7,2.44,1.44,0.63,3.08,2.19,1.54,0.84,2.41,1.85,1.29,0.7,2.13,1.44,0.81,0.34
6129 普誠,0.05,0.09,0.01,-0.81,-0.79,-0.71,-0.27,0.45,0.35,0.32,0.07,-0.54,-0.49,-0.34,-0.18,0.19,0.22,0.06,0.07
6130 基因,-0.12,-0.09,0.1,-0.13,-0.19,0.11,0.12,0.57,0.69,0.77,1.06,-0.92,0.79,2.06,0.88,3.78,2.53,1.67,0.74
6131 悠克,-0.67,-0.65,-0.32,-4.86,-0.93,-0.66,-0.25,-1.55,-1.18,-0.67,-0.36,-1.57,-0.53,-0.27,0.01,-0.58,-0.4,-0.13,-0.1
6133 金橋,0.03,0.02,-0.07,0.36,0.35,0.03,-0.04,0.46,0.26,0.15,0.13,0.13,-0.01,-0.1,-0.07,0.11,0.08,0,-0.04
6134 萬旭,0.28,0.12,0.01,-1.01,-0.82,-0.84,-0.45,-1.77,-1.14,-0.9,-0.49,-2.92,-2.08,-1.68,-1.06,-4.64,-3.18,-2.04,-1.34
6136 富爾特,2.06,0.55,0.29,1.98,1.87,0.74,0.14,2.01,1.86,0.69,0.14,2.01,1.48,0.2,0.16,2.22,1.7,0.3,0.11
6138 茂達,1.68,0.98,0.57,1.49,0.76,0.38,0.29,2.01,1.6,0.92,0.43,0.8,0.69,0.57,0.31,0.83,1.09,0.78,0.23
6139 亞翔,2.09,1.63,0.87,1.02,1,0.21,0.05,1.32,0.86,0.74,0.19,2.08,1.18,1.08,0.5,2.7,1.73,1.38,0.63
6140 訊達,-0.55,-0.37,-0.35,-0.46,-0.24,-0.36,-0.34,-0.12,-0.09,-0.07,-0.06,-0.14,-0.22,-0.05,-0.04,0.03,-0.03,-0.18,-0.29
6141 柏承,-1.15,-0.87,-0.55,-3.16,-2.01,-1.17,-0.61,0.1,0.09,-0.07,-0.1,-0.5,-0.62,-0.39,-0.27,0.2,0.31,0.17,0.13
6142 友勁,0.57,0.74,0.91,-0.56,-0.38,-0.41,-0.29,-0.9,-0.71,-0.66,-0.31,0.39,0.3,0.35,0.14,0.61,0.25,-0.07,-0.17
6143 振曜,0.02,0.21,-0.91,6.04,4.72,0.63,0.99,5.25,2.58,1.37,1.34,8.08,5.43,4.1,1.82,5.12,2.13,1.03,0.18
6144 得利影,-0.14,-0.14,-0.04,-0.01,-0.09,-0.04,0,0.01,-0.04,0.05,0.01,-0.36,-0.16,-0.05,-0.02,-0.44,-0.12,-0.13,-0.06
6145 勁永,0,0.01,0.05,0.45,0.44,0.34,0.33,0.42,0.02,-0.12,0.02,0.03,-0.02,0.03,0.15,1.16,0.3,0.16,-0.7
